GLAM Project,,,,,,,,
NASA/GSFC/GIMMS,,,,,,,,
USDA/FAS/IPAD,,,,,,,,
Created on Sat Mar  4 01:39:57 UTC 2017,,,,,,,,
SAT,Terra EOS AM,,,,,,,
PRODUCT,MODIS NDVI 8-day,,,,,,,
MEAN,2001-2011,,,,,,,
MASK,NASS_2010_barley,,,,,,,
SHAPE,ADM,,,,,,,
ID(s),113089,,,,,,,
ORDINAL DATE,START DATE,END DATE,SOURCE,SAMPLE VALUE,SAMPLE COUNT,MEAN VALUE,MEAN COUNT,ANOM VALUE
2000-049,2/18/00,2/25/00,STD,#N/A,#N/A,0.178,991,#N/A
2000-057,2/26/00,3/4/00,STD,0.165,1091,0.171,1131,-0.006
2000-065,3/5/00,3/12/00,STD,0.178,1187,0.169,1157,0.009
2000-073,3/13/00,3/20/00,STD,0.163,993,0.17,1231,-0.007
2000-081,3/21/00,3/28/00,STD,0.16,1230,0.168,1231,-0.008
2000-089,3/29/00,4/5/00,STD,0.169,1133,0.169,1231,0
2000-097,4/6/00,4/13/00,STD,0.182,1231,0.175,1231,0.007
2000-105,4/14/00,4/21/00,STD,0.201,1118,0.19,1231,0.011
2000-113,4/22/00,4/29/00,STD,0.218,707,0.204,1231,0.014
2000-121,4/30/00,5/7/00,STD,0.255,1231,0.233,1231,0.022
2000-129,5/8/00,5/15/00,STD,0.332,1170,0.261,1231,0.071
2000-137,5/16/00,5/23/00,STD,0.351,1210,0.305,1231,0.046
2000-145,5/24/00,5/31/00,STD,0.45,1227,0.364,1231,0.086
2000-153,6/1/00,6/8/00,STD,0.478,1226,0.412,1231,0.066
2000-161,6/9/00,6/16/00,STD,0.497,1076,0.448,1231,0.049
2000-169,6/17/00,6/24/00,STD,0.531,1226,0.461,1231,0.07
2000-177,6/25/00,7/2/00,STD,0.563,1223,0.492,1231,0.071
2000-185,7/3/00,7/10/00,STD,0.585,1220,0.512,1231,0.073
2000-193,7/11/00,7/18/00,STD,0.589,1225,0.522,1231,0.067
2000-201,7/19/00,7/26/00,STD,0.556,1225,0.519,1231,0.037
2000-209,7/27/00,8/3/00,STD,0.532,1229,0.511,1231,0.021
2000-217,8/4/00,8/11/00,STD,#N/A,#N/A,0.507,1231,#N/A
2000-225,8/12/00,8/19/00,STD,0.538,1231,0.495,1231,0.043
2000-233,8/20/00,8/27/00,STD,0.496,1231,0.487,1231,0.009
2000-241,8/28/00,9/4/00,STD,0.489,1231,0.48,1231,0.009
2000-249,9/5/00,9/12/00,STD,0.465,1230,0.46,1231,0.005
2000-257,9/13/00,9/20/00,STD,0.452,1231,0.438,1231,0.014
2000-265,9/21/00,9/28/00,STD,0.412,1216,0.416,1231,-0.004
2000-273,9/29/00,10/6/00,STD,0.39,1128,0.397,1231,-0.007
2000-281,10/7/00,10/14/00,STD,0.343,1011,0.366,1231,-0.023
2000-289,10/15/00,10/22/00,STD,0.288,1127,0.333,1231,-0.045
2000-297,10/23/00,10/30/00,STD,0.272,991,0.32,1231,-0.048
2000-305,10/31/00,11/7/00,STD,0.252,1080,0.29,1227,-0.038
2000-313,11/8/00,11/15/00,STD,0.237,591,0.263,1212,-0.026
2000-321,11/16/00,11/23/00,STD,#N/A,#N/A,0.252,1214,#N/A
2000-329,11/24/00,12/1/00,STD,0.239,16,0.237,1205,0.002
2000-337,12/2/00,12/9/00,STD,0.241,26,0.235,1115,0.006
2000-345,12/10/00,12/17/00,STD,#N/A,#N/A,0.215,1203,#N/A
2000-353,12/18/00,12/25/00,STD,0.195,15,0.215,861,-0.02
2000-361,12/26/00,1/2/01,STD,0.08,1,0.213,963,-0.133
2001-001,1/1/01,1/8/01,STD,0.276,1,0.205,1146,0.071
2001-009,1/9/01,1/16/01,STD,0.178,15,0.199,1167,-0.021
2001-017,1/17/01,1/24/01,STD,0.165,14,0.205,758,-0.04
2001-025,1/25/01,2/1/01,STD,0.143,10,0.191,730,-0.048
2001-033,2/2/01,2/9/01,STD,#N/A,#N/A,0.189,968,#N/A
2001-041,2/10/01,2/17/01,STD,#N/A,#N/A,0.18,855,#N/A
2001-049,2/18/01,2/25/01,STD,0.059,2,0.178,991,-0.119
2001-057,2/26/01,3/5/01,STD,0.295,1,0.171,1131,0.124
2001-065,3/6/01,3/13/01,STD,0.168,369,0.169,1157,-0.001
2001-073,3/14/01,3/21/01,STD,0.173,668,0.17,1231,0.003
2001-081,3/22/01,3/29/01,STD,0.184,1128,0.168,1231,0.016
2001-089,3/30/01,4/6/01,STD,0.165,1197,0.169,1231,-0.004
2001-097,4/7/01,4/14/01,STD,0.188,843,0.175,1231,0.013
2001-105,4/15/01,4/22/01,STD,0.183,951,0.19,1231,-0.007
2001-113,4/23/01,4/30/01,STD,0.21,1207,0.204,1231,0.006
2001-121,5/1/01,5/8/01,STD,0.255,1230,0.233,1231,0.022
2001-129,5/9/01,5/16/01,STD,0.268,1231,0.261,1231,0.007
2001-137,5/17/01,5/24/01,STD,0.322,1231,0.305,1231,0.017
2001-145,5/25/01,6/1/01,STD,0.374,1224,0.364,1231,0.01
2001-153,6/2/01,6/9/01,STD,0.445,1228,0.412,1231,0.033
2001-161,6/10/01,6/17/01,STD,0.458,1231,0.448,1231,0.01
2001-169,6/18/01,6/25/01,STD,#N/A,#N/A,0.461,1231,#N/A
2001-177,6/26/01,7/3/01,STD,0.608,513,0.492,1231,0.116
