county,state,year,days_under0,dewPoint,precipAccumulation,precip,days_under_n10,days_over42,days_over32,humidity,temp_delta,temperatureMin,apparentTemperatureMin,precipIntensity
gilpin,CO,2010,0,35.1277595628,9.464,103,0,179,183,0.490546448087,24.3765027322,45.7433879781,43.6633333333,0.00309617486339
gilpin,CO,2011,0,33.6766304348,22.768,130,0,174,184,0.508913043478,22.6629347826,44.1098369565,41.3029891304,0.00362010869565
gilpin,CO,2013,0,33.3733333333,24.681,132,0,171,176,0.48349726776,20.1110928962,45.4838797814,42.9757923497,0.00291967213115
glacier,MT,2013,0,40.0120765027,5.085,148,0,168,176,0.633715846995,21.1372131148,43.3443169399,40.0253551913,0.00253005464481
golden valley,MT,2013,0,40.6291256831,2.781,112,0,174,176,0.562786885246,23.2335519126,46.7603825137,44.3255737705,0.00248142076503
gooding,ID,2010,0,36.1828415301,0.576,99,0,181,183,0.475136612022,26.8278142077,46.4643169399,44.2942622951,0.0011781420765
gooding,ID,2011,0,37.5613043478,0.088,104,0,183,184,0.488369565217,27.2554891304,46.7660326087,44.4917934783,0.00103695652174
gooding,ID,2013,0,37.7883606557,0.0,80,0,182,183,0.436721311475,25.5536065574,50.308852459,48.7477595628,0.000890710382514
goshen,WY,2013,0,43.883989071,9.249,130,0,171,177,0.577431693989,25.7910382514,48.8506010929,46.4628961749,0.00189781420765
grand,CO,2010,0,33.6646994536,12.327,112,0,176,183,0.491475409836,25.9289071038,43.3087431694,41.0954098361,0.00272950819672
grand,CO,2011,0,33.1508152174,11.555,124,0,174,183,0.536358695652,24.355923913,41.0346195652,38.6833152174,0.0037875
grand,CO,2013,0,32.4082513661,17.219,134,0,170,177,0.498415300546,21.9953005464,42.7293989071,40.1090710383,0.00240054644809
granite,MT,2013,0,39.268579235,1.19,115,0,176,183,0.538852459016,26.0773224044,45.302568306,43.3686338798,0.00230601092896
gunnison,CO,2010,0,31.1372131148,6.985,102,0,178,183,0.466010928962,26.7569398907,41.7050819672,39.5095081967,0.0017306010929
gunnison,CO,2011,0,31.4275543478,3.229,111,0,179,184,0.477989130435,25.8913586957,41.742826087,39.6263586957,0.00179076086957
gunnison,CO,2013,0,33.2059562842,4.549,118,0,177,181,0.494808743169,24.2264480874,43.0379234973,41.5780874317,0.00156994535519
hill,MT,2013,0,42.4913114754,1.044,110,0,173,179,0.606666666667,23.2086338798,46.5068852459,44.209726776,0.0030306010929
hinsdale,CO,2010,0,32.7494535519,2.421,88,0,179,183,0.464535519126,25.8858469945,43.6137704918,41.2341530055,0.00149945355191
hinsdale,CO,2011,0,31.8078688525,1.278,104,0,179,183,0.452295081967,26.2010928962,43.5627868852,41.4678688525,0.00153551912568
